==== unusedMechScreen on params/params_2state_a2hop.m ====
Data: peak1_y~96, peak1_dSL~0.025, vall_y~71, peak2~81, ovrsht~1.3, steady~[80..64], FV~[.92 .66 .32 .11], ktr~49

mechanism        peak1y   pk1dSL  vall_y   peak2  ovrsht  steady    ktr | FV(.5,1,2,4)              COST
BASE a2hop         95.5   0.0345    70.0    81.0    1.26    77.4   52.4 | 0.93 0.55 0.22 0.09      2.952
viscoSE .02        95.5   0.0345    70.0    81.0    1.31    77.4   52.1 | 0.93 0.55 0.22 0.09      2.890
viscoSE .10        95.4   0.0347    70.0    81.0    1.29    77.4   51.6 | 0.93 0.55 0.22 0.09      3.376
titinvisc 2       115.8   0.0408    90.1    99.8    1.28    77.4   52.4 | 0.93 0.55 0.22 0.09     15.028
titinvisc 10      193.8   0.0724   168.6   173.6    1.56    77.4   52.4 | 0.93 0.55 0.22 0.09    247.802
stretchAct .3     159.3   0.1033   149.6   152.4    0.83    77.4   52.4 | 0.93 0.55 0.22 0.09    172.738
stretchAct 1      222.1   0.1189   205.2   205.5    0.67    77.4   52.4 | 0.93 0.55 0.22 0.09    442.383
A2shift           111.1   0.0873   101.6   102.0    1.60    77.4   52.4 | 0.92 0.55 0.22 0.09     62.603
Wdetach            95.5   0.0345    70.0    81.0    1.26    77.4   52.4 | 0.93 0.55 0.22 0.09      2.952
vernier          ERROR: ODEslower took longer than MaxRunTime 90 s
