==== probeCoupling on params/opt2state_opt.m ====
Each row: mean-over-segments of features; FV = fnorm(v=.5,1,2,4); COST = total feature cost.
Reference data targets: ktr~49, steady~[80 80 81 81 64], peak1_y~96, FV~[.92 .66 .32 .11]

lever             ktr  steady  peak1y   peak2  vall_y  XTORvmx   att_ss  SRX_ss | FV_fnorm(.5,1,2,4)            COST
BASE             69.4    77.1    97.6    78.8    66.1    11.59    0.259   0.084 | 0.91 0.60 0.30 0.11          4.548
k1 x0.75         70.8    74.1    96.6    83.5    71.4    11.94    0.254   0.084 | 0.94 0.61 0.31 0.11         12.746
k2 x0.75         58.0    85.4   112.9    83.2    70.0     7.42    0.302   0.065 | 0.82 0.53 0.26 0.09         15.530
cycle x0.80      58.0    78.8   103.1    79.5    68.5     9.43    0.273   0.071 | 0.84 0.53 0.26 0.09          9.119
kmsrd 30         57.6    76.8    96.8    78.4    65.9    11.46    0.257   0.089 | 0.90 0.56 0.25 0.09          3.672
kmsrd 15         44.3    76.1    95.2    77.6    65.6    11.43    0.255   0.097 | 0.88 0.46 0.17 0.08          5.057
dr1 0.010        67.1    86.3   114.5    91.3    77.8    10.34    0.255   0.077 | 0.91 0.62 0.34 0.14         16.279
dr1 0.015        65.8    94.7   130.6   102.8    88.6    10.18    0.253   0.072 | 0.90 0.63 0.36 0.16         47.939
kstiff2 x0.85    70.1    68.4    90.2    76.6    64.7    11.13    0.260   0.094 | 0.90 0.59 0.29 0.11         18.144
kSE x0.70        59.0    76.4    95.8    77.1    66.0     8.99    0.264   0.083 | 0.92 0.61 0.31 0.11          5.207
P_bound x0.85    70.9    74.7    95.1    78.0    65.4    12.52    0.248   0.086 | 0.91 0.60 0.31 0.12          7.005
catchbond 0.3    61.4    75.6     NaN   440.5     NaN    13.26    0.250  -4.325 | 0.91 0.60 0.30 0.11        805.839
