==== probePeakLevers on params/opt2state_v2_opt.m ====
Targets: peak1_dSL(0.74), FV mid-tail(0.61), ovrsht(0.40), peak1_y(0.39).
Data: peak1_dSL~0.025, peak1_y~[96 94 90 89 77], vall_y~[77 75 72 70 61], FV~[.92 .66 .32 .11], steady~[80 80 81 81 64], ktr~49

lever             pk1dSL  peak1y  vall_y   peak2  steady    ktr | FV_fnorm(.5,1,2,4)          COST
BASE              0.0346    96.1    66.9    79.0    77.4   52.4 | 0.93 0.55 0.22 0.09        3.224
cb k.005 sm.008   0.0352    97.1    68.8    80.5    77.4   52.5 | 0.93 0.55 0.22 0.09        3.414
cb k.01 sm.008    0.0357    98.2    70.8    82.0    77.4   52.3 | 0.93 0.55 0.22 0.09        3.578
cb k.02 sm.008    0.0455   101.0    75.2    85.5    77.4   52.4 | 0.93 0.55 0.22 0.09        9.073
cb k.02 R1Donly   0.0448    98.8    74.8    85.1    77.4   52.5 | 0.93 0.55 0.22 0.09        8.554
cb k.05 R1Donly   0.0770   111.9    94.3    99.5    77.4   52.4 | 0.93 0.55 0.22 0.09       46.310
k2n x0.3          0.0346    96.1    66.9    79.0    77.4   58.0 | 0.93 0.57 0.24 0.12        5.735
k2n x0.5          0.0346    96.1    66.9    79.0    77.4   56.1 | 0.93 0.56 0.24 0.11        4.539
k2n x0.7          0.0345    96.1    66.9    79.0    77.4   54.5 | 0.93 0.56 0.23 0.10        3.724
k2n x1.5          0.0345    96.1    66.9    79.0    77.4   49.9 | 0.92 0.54 0.20 0.07        4.228
k1n x0.5          0.0345    96.1    66.9    79.0    77.4   52.5 | 0.93 0.55 0.22 0.09        3.189
k1n x2.0          0.0345    96.1    66.9    79.0    77.4   52.2 | 0.92 0.55 0.22 0.09        3.200
k1n+k2n x0.5      0.0345    96.1    66.9    79.0    77.4   56.3 | 0.93 0.56 0.24 0.11        4.565
